starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:40 2021,1639340140,0,607,607,607
Sun Dec 12 15:15:40 2021,1639340140,0,608,608,607
Sun Dec 12 15:15:28 2021,1639340128,0,611,611,611
Sun Dec 12 15:15:24 2021,1639340124,10,601,612,601
Sun Dec 12 15:15:36 2021,1639340136,0,613,613,613
Sun Dec 12 15:15:37 2021,1639340137,0,615,615,615
Sun Dec 12 15:15:28 2021,1639340128,0,615,615,615
Sun Dec 12 15:15:30 2021,1639340130,0,616,616,612
Sun Dec 12 15:15:27 2021,1639340127,0,616,616,616
Sun Dec 12 15:15:37 2021,1639340137,0,616,616,616
Sun Dec 12 15:15:26 2021,1639340126,0,617,617,617
Sun Dec 12 15:15:26 2021,1639340126,0,617,617,617
Sun Dec 12 15:15:26 2021,1639340126,0,619,619,619
Sun Dec 12 15:15:31 2021,1639340131,0,620,620,620
Sun Dec 12 15:15:37 2021,1639340137,0,623,623,623
Sun Dec 12 15:15:36 2021,1639340136,0,629,629,629
Sun Dec 12 15:15:39 2021,1639340139,0,629,629,629
Sun Dec 12 15:15:33 2021,1639340133,0,630,630,630
Sun Dec 12 15:15:33 2021,1639340133,0,633,633,633
Sun Dec 12 15:15:37 2021,1639340137,0,633,633,633
Sun Dec 12 15:15:25 2021,1639340125,0,634,634,634
Sun Dec 12 15:15:35 2021,1639340135,0,634,634,634
Sun Dec 12 15:15:35 2021,1639340135,0,636,636,636
Sun Dec 12 15:15:24 2021,1639340124,10,626,636,626
Sun Dec 12 15:15:28 2021,1639340128,0,636,636,629
Sun Dec 12 15:15:39 2021,1639340139,0,639,639,639
Sun Dec 12 15:15:27 2021,1639340127,0,639,639,639
Sun Dec 12 15:15:35 2021,1639340135,0,640,640,636
Sun Dec 12 15:15:28 2021,1639340128,0,640,640,640
Sun Dec 12 15:15:38 2021,1639340138,0,642,642,641
Sun Dec 12 15:15:33 2021,1639340133,0,642,642,642
Sun Dec 12 15:15:41 2021,1639340141,0,643,643,643
Sun Dec 12 15:15:27 2021,1639340127,0,644,644,643
Sun Dec 12 15:15:41 2021,1639340141,0,644,644,644
Sun Dec 12 15:15:40 2021,1639340140,0,650,650,650
Sun Dec 12 15:15:33 2021,1639340133,0,652,652,652
Sun Dec 12 15:15:29 2021,1639340129,0,654,654,654
Sun Dec 12 15:15:28 2021,1639340128,0,654,654,654
Sun Dec 12 15:15:40 2021,1639340140,0,657,657,657
Sun Dec 12 15:15:36 2021,1639340136,0,657,657,657
Sun Dec 12 15:15:26 2021,1639340126,0,657,657,655
Sun Dec 12 15:15:30 2021,1639340130,0,659,659,659
Sun Dec 12 15:15:39 2021,1639340139,0,661,661,661
Sun Dec 12 15:15:32 2021,1639340132,0,662,662,662
Sun Dec 12 15:15:26 2021,1639340126,0,663,663,663
Sun Dec 12 15:15:40 2021,1639340140,0,664,664,664
Sun Dec 12 15:15:25 2021,1639340125,0,666,666,666
